rep,n,d,N,type,method,metric,value
52,50,2,100,linear,Gaussian-FR,Correlation,0.006041138148149437
53,50,2,100,linear,NPT-FR,Marginal,6.26640092593271
53,50,2,100,linear,NPT-FR,Correlation,0.0051091462648526495
53,50,2,100,linear,Marginal-FR,Marginal,6.26640092593271
53,50,2,100,linear,Marginal-FR,Correlation,0.019313693997027134
53,50,2,100,linear,Gaussian-FR,Marginal,7.864703265965822
53,50,2,100,linear,Gaussian-FR,Correlation,0.00500688635867618
54,50,2,100,linear,NPT-FR,Marginal,6.51368621965348
54,50,2,100,linear,NPT-FR,Correlation,0.006034595724800965
54,50,2,100,linear,Marginal-FR,Marginal,6.51368621965348
54,50,2,100,linear,Marginal-FR,Correlation,0.020043283764632543
54,50,2,100,linear,Gaussian-FR,Marginal,8.138644335745447
54,50,2,100,linear,Gaussian-FR,Correlation,0.005775966442567833
55,50,2,100,linear,NPT-FR,Marginal,5.540870846507145
55,50,2,100,linear,NPT-FR,Correlation,0.005172837166414327
55,50,2,100,linear,Marginal-FR,Marginal,5.540870846507145
55,50,2,100,linear,Marginal-FR,Correlation,0.022164568280326244
55,50,2,100,linear,Gaussian-FR,Marginal,6.70725244140164
55,50,2,100,linear,Gaussian-FR,Correlation,0.005476054179325315
56,50,2,100,linear,NPT-FR,Marginal,5.8658280593249765
56,50,2,100,linear,NPT-FR,Correlation,0.006147915741121739
56,50,2,100,linear,Marginal-FR,Marginal,5.8658280593249765
56,50,2,100,linear,Marginal-FR,Correlation,0.019104924065492145
56,50,2,100,linear,Gaussian-FR,Marginal,7.1876903504021366
56,50,2,100,linear,Gaussian-FR,Correlation,0.005917443803212679
57,50,2,100,linear,NPT-FR,Marginal,5.7750634537061885
57,50,2,100,linear,NPT-FR,Correlation,0.006345993272739099
57,50,2,100,linear,Marginal-FR,Marginal,5.7750634537061885
57,50,2,100,linear,Marginal-FR,Correlation,0.02088754893131096
57,50,2,100,linear,Gaussian-FR,Marginal,7.1829011018635605
57,50,2,100,linear,Gaussian-FR,Correlation,0.007262609083458801
58,50,2,100,linear,NPT-FR,Marginal,6.07781934651716
58,50,2,100,linear,NPT-FR,Correlation,0.006100230762672752
58,50,2,100,linear,Marginal-FR,Marginal,6.07781934651716
58,50,2,100,linear,Marginal-FR,Correlation,0.020069209890454312
58,50,2,100,linear,Gaussian-FR,Marginal,7.509028742080293
58,50,2,100,linear,Gaussian-FR,Correlation,0.005838562060426646
59,50,2,100,linear,NPT-FR,Marginal,6.261333697923497
59,50,2,100,linear,NPT-FR,Correlation,0.005388655079236803
59,50,2,100,linear,Marginal-FR,Marginal,6.261333697923497
59,50,2,100,linear,Marginal-FR,Correlation,0.02082898045243038
59,50,2,100,linear,Gaussian-FR,Marginal,7.763177951306446
59,50,2,100,linear,Gaussian-FR,Correlation,0.00591660112392145
60,50,2,100,linear,NPT-FR,Marginal,5.558502826287291
60,50,2,100,linear,NPT-FR,Correlation,0.005534142071922687
60,50,2,100,linear,Marginal-FR,Marginal,5.558502826287291
60,50,2,100,linear,Marginal-FR,Correlation,0.02253535081763034
60,50,2,100,linear,Gaussian-FR,Marginal,6.96046220386531
60,50,2,100,linear,Gaussian-FR,Correlation,0.006586107538483087
61,50,2,100,linear,NPT-FR,Marginal,5.886590428114486
61,50,2,100,linear,NPT-FR,Correlation,0.0052180100284647014
61,50,2,100,linear,Marginal-FR,Marginal,5.886590428114486
61,50,2,100,linear,Marginal-FR,Correlation,0.021490491545513496
61,50,2,100,linear,Gaussian-FR,Marginal,7.484125836986532
61,50,2,100,linear,Gaussian-FR,Correlation,0.005169775461863065
62,50,2,100,linear,NPT-FR,Marginal,6.133644940734639
62,50,2,100,linear,NPT-FR,Correlation,0.005439371985639565
62,50,2,100,linear,Marginal-FR,Marginal,6.133644940734639
62,50,2,100,linear,Marginal-FR,Correlation,0.019124901003163653
62,50,2,100,linear,Gaussian-FR,Marginal,7.501105593111813
62,50,2,100,linear,Gaussian-FR,Correlation,0.006313643249626096
63,50,2,100,linear,NPT-FR,Marginal,5.6154059186171335
63,50,2,100,linear,NPT-FR,Correlation,0.005214935947791783
63,50,2,100,linear,Marginal-FR,Marginal,5.6154059186171335
63,50,2,100,linear,Marginal-FR,Correlation,0.02083841195634487
63,50,2,100,linear,Gaussian-FR,Marginal,7.11121635163609
63,50,2,100,linear,Gaussian-FR,Correlation,0.005600921677128957
64,50,2,100,linear,NPT-FR,Marginal,5.729973354826553
64,50,2,100,linear,NPT-FR,Correlation,0.0056660831782501305
64,50,2,100,linear,Marginal-FR,Marginal,5.729973354826553
64,50,2,100,linear,Marginal-FR,Correlation,0.022046718524561592
64,50,2,100,linear,Gaussian-FR,Marginal,7.116743703811318
64,50,2,100,linear,Gaussian-FR,Correlation,0.006073039054234598
65,50,2,100,linear,NPT-FR,Marginal,6.169476806869379
65,50,2,100,linear,NPT-FR,Correlation,0.00702771022202551
65,50,2,100,linear,Marginal-FR,Marginal,6.169476806869379
65,50,2,100,linear,Marginal-FR,Correlation,0.020075466118570078
65,50,2,100,linear,Gaussian-FR,Marginal,7.356301975545915
65,50,2,100,linear,Gaussian-FR,Correlation,0.006351219483128938
66,50,2,100,linear,NPT-FR,Marginal,5.4571548289601175
66,50,2,100,linear,NPT-FR,Correlation,0.005492925402136018
66,50,2,100,linear,Marginal-FR,Marginal,5.4571548289601175
66,50,2,100,linear,Marginal-FR,Correlation,0.021235896853085013
66,50,2,100,linear,Gaussian-FR,Marginal,6.9703324259702955
66,50,2,100,linear,Gaussian-FR,Correlation,0.006707798811794731
67,50,2,100,linear,NPT-FR,Marginal,6.31299505659371
67,50,2,100,linear,NPT-FR,Correlation,0.006227554154080881
67,50,2,100,linear,Marginal-FR,Marginal,6.31299505659371
67,50,2,100,linear,Marginal-FR,Correlation,0.021101810598328753
67,50,2,100,linear,Gaussian-FR,Marginal,7.7039354464625625
67,50,2,100,linear,Gaussian-FR,Correlation,0.006359641706627371
68,50,2,100,linear,NPT-FR,Marginal,7.191855035730342
68,50,2,100,linear,NPT-FR,Correlation,0.007378629413935185
68,50,2,100,linear,Marginal-FR,Marginal,7.191855035730342
68,50,2,100,linear,Marginal-FR,Correlation,0.022648504113373873
68,50,2,100,linear,Gaussian-FR,Marginal,8.431930097973535
68,50,2,100,linear,Gaussian-FR,Correlation,0.007178324029267618
69,50,2,100,linear,NPT-FR,Marginal,6.482034124410922
69,50,2,100,linear,NPT-FR,Correlation,0.006790447911150563
69,50,2,100,linear,Marginal-FR,Marginal,6.482034124410922
69,50,2,100,linear,Marginal-FR,Correlation,0.022433503832747725
69,50,2,100,linear,Gaussian-FR,Marginal,7.895036609588868
69,50,2,100,linear,Gaussian-FR,Correlation,0.007903891889303277
70,50,2,100,linear,NPT-FR,Marginal,5.674233396844352
70,50,2,100,linear,NPT-FR,Correlation,0.005402447627654096
70,50,2,100,linear,Marginal-FR,Marginal,5.674233396844352
70,50,2,100,linear,Marginal-FR,Correlation,0.01986515739481196
70,50,2,100,linear,Gaussian-FR,Marginal,7.103676884298448
70,50,2,100,linear,Gaussian-FR,Correlation,0.005766105858344143
