rep,n,d,N,type,method,metric,value
94,50,2,100,linear,NPT-FR,Wasserstein,13.102901433273324
94,50,2,100,linear,Marginal-FR,Wasserstein,13.291105623562707
94,50,2,100,linear,Gaussian-FR,Wasserstein,15.871381590025111
95,50,2,100,linear,NPT-FR,Wasserstein,13.126427372476567
95,50,2,100,linear,Marginal-FR,Wasserstein,13.303669675993694
95,50,2,100,linear,Gaussian-FR,Wasserstein,15.93987798544582
96,50,2,100,linear,NPT-FR,Wasserstein,13.360337288582349
96,50,2,100,linear,Marginal-FR,Wasserstein,13.532998798125362
96,50,2,100,linear,Gaussian-FR,Wasserstein,16.712066990823676
97,50,2,100,linear,NPT-FR,Wasserstein,15.776168724728272
97,50,2,100,linear,Marginal-FR,Wasserstein,15.966280193727638
97,50,2,100,linear,Gaussian-FR,Wasserstein,18.524769796849622
98,50,2,100,linear,NPT-FR,Wasserstein,13.733135791352026
98,50,2,100,linear,Marginal-FR,Wasserstein,13.97740437884119
98,50,2,100,linear,Gaussian-FR,Wasserstein,17.19229014214487
99,50,2,100,linear,NPT-FR,Wasserstein,12.751276639717723
99,50,2,100,linear,Marginal-FR,Wasserstein,12.954810798493588
99,50,2,100,linear,Gaussian-FR,Wasserstein,15.73369022581337
0,50,2,100,nonlinear,NPT-FR,Wasserstein,11.45715884673192
0,50,2,100,nonlinear,Marginal-FR,Wasserstein,16.718040604764514
0,50,2,100,nonlinear,Gaussian-FR,Wasserstein,15.013628660905768
1,50,2,100,nonlinear,NPT-FR,Wasserstein,12.71750606269712
1,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.443897986198238
1,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.33347305671224
2,50,2,100,nonlinear,NPT-FR,Wasserstein,14.471282959931258
2,50,2,100,nonlinear,Marginal-FR,Wasserstein,19.847970388670824
2,50,2,100,nonlinear,Gaussian-FR,Wasserstein,18.33254182247202
3,50,2,100,nonlinear,NPT-FR,Wasserstein,14.52761279106068
3,50,2,100,nonlinear,Marginal-FR,Wasserstein,19.348942805863786
3,50,2,100,nonlinear,Gaussian-FR,Wasserstein,17.617287139823173
4,50,2,100,nonlinear,NPT-FR,Wasserstein,13.748303020064881
4,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.36965082826604
4,50,2,100,nonlinear,Gaussian-FR,Wasserstein,17.35037691342977
5,50,2,100,nonlinear,NPT-FR,Wasserstein,12.827771391372035
5,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.824080360804118
5,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.256895941262755
6,50,2,100,nonlinear,NPT-FR,Wasserstein,13.068659876573337
6,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.302749477493126
6,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.69703414447946
7,50,2,100,nonlinear,NPT-FR,Wasserstein,12.750369859930892
7,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.140792852588746
7,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.80055082586071
8,50,2,100,nonlinear,NPT-FR,Wasserstein,12.106033052531181
8,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.21313900951325
8,50,2,100,nonlinear,Gaussian-FR,Wasserstein,15.622897763910052
9,50,2,100,nonlinear,NPT-FR,Wasserstein,13.290843450714274
9,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.462485345459253
9,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.550738494867176
10,50,2,100,nonlinear,NPT-FR,Wasserstein,12.532124961992569
10,50,2,100,nonlinear,Marginal-FR,Wasserstein,17.68273191071008
10,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.292612595225282
11,50,2,100,nonlinear,NPT-FR,Wasserstein,12.938402379106035
11,50,2,100,nonlinear,Marginal-FR,Wasserstein,18.148050896555105
11,50,2,100,nonlinear,Gaussian-FR,Wasserstein,16.656790635275296
